molecule_id,canonical_smiles,"Serotonin (5-HT) receptor","Serotonin 1 (5-HT1) receptor","Serotonin 1 receptors; 5-HT1B & 5-HT1D","Serotonin 1a (5-HT1a) receptor","Serotonin 1b (5-HT1b) receptor","Serotonin 1d (5-HT1d) receptor","Serotonin 1e (5-HT1e) receptor","Serotonin 1f (5-HT1f) receptor","Serotonin 2 (5-HT2) receptor","Serotonin 2 receptors; 5-HT2a & 5-HT2c","Serotonin 2a (5-HT2a) receptor","Serotonin 2b (5-HT2b) receptor","Serotonin 2c (5-HT2c) receptor","Serotonin 3 (5-HT3) receptor","Serotonin 3a (5-HT3a) receptor","Serotonin 3b (5-HT3b) receptor","Serotonin 4 (5-HT4) receptor","Serotonin 5a (5-HT5a) receptor","Serotonin 5b (5-HT5b) receptor","Serotonin 6 (5-HT6) receptor","Serotonin 7 (5-HT7) receptor"
3553,C=CCn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21,,,,,,,,,,,,,,8.1,,,,,,,
3565,C#CCn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21,,,,,,,,,,,,,,8.21,,,,,,,
3566,CCn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21,,,,,,,,,,,,,,7.87,,,,,,,
3572,COc1cc(C(=N)N)c(OC)cc1CC(C)N,,,,,,,,,8.15,,,,,,,,,,,,
3573,COc1cc(C(C)(C)C)c(OC)cc1CC(C)N,,,,,,,,,7.72,,,,,,,,,,,,
3574,CCCCc1cc(OC)c(CC(C)N)cc1OC,,,,,,,,,7.24,,,,7.58,,,,,,,,
3583,COc1cc(CC(C)N)c(OC)cc1C,7.12333333333333,5.54,,5.29,5.68,,,,7.36571428571429,,7.36,7.12,6.71,,,,,,,,
3587,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,,,,8.10722222222222,4.39333333333333,,,,5.0,,4.97,,,,,,,,,4.78,5.85
3588,Cn1cc(C2=NCC3(CC4CCC(C3)N4Cc3ccccc3)O2)c2ccccc21,,,,,,,,,,,,,,6.76,,,,,,,
3599,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,,,,7.71626506024096,5.75,,,,5.93833333333333,,5.833,5.85666666666667,5.82,,,,,,,,6.08
3601,c1ccc2c(C3=NCC4(CN5CCC4CC5)O3)c[nH]c2c1,,,,,,,,,,,,,,8.32,,,,,,,
3619,Cn1cc(C2=NCC3(CC4CCC(C3)N4)O2)c2ccccc21,,,,,,,,,,,,,,7.95,,,,,,,
3627,Cn1cc(C2=NC[C@@]3(C[N@@]4CC[C@@H]3C4)O2)c2ccccc21,,,,,,,,,,,,,,8.46,,,,,,,
3628,Cn1cc(C2=NCC3(CCN4CCCC3C4)O2)c2ccccc21,,,,,,,,,,,,,,8.95,,,,,,,
3638,CCCCOC(=O)c1cc(OC)c(CC(C)N)cc1OC,,,,,,,,,5.82,,,,,,,,,,,,
